symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_price,holding_days,pnl,pnl_pct,peak_price,rsi_at_entry,vol_at_entry,portfolio_value,win
ANET,momentum_breakout,breakout,3,2024-05-10,78.50749969482422,2024-06-04,73.36,trailing_stop,4.106722973904798,4.11,False,,25,-21.15,-6.56,81.51,64.06024071198452,1.839112256137901,1606.98,0
LMT,momentum_breakout,breakout,3,2024-04-22,432.0673522949219,2024-06-07,443.28,bearish_divergence,0.24740532484108374,0.25,False,,46,2.77,2.59,443.28,70.94185133112975,1.6371319397617443,1618.03,1
GOOGL,momentum_breakout,breakout,3,2024-04-29,164.5838623046875,2024-06-12,176.32,bearish_divergence,0.7063905594277959,0.71,False,,44,8.29,7.13,176.32,65.06592510993924,1.5342574871580361,1658.15,1
NVDA,momentum_breakout,breakout,3,2024-05-28,113.70423889160156,2024-06-24,121.82,trailing_stop,2.8132082437338943,1.41,True,134.17,27,40.2,12.57,135.36,77.83416937798975,1.5627419234164808,1647.24,1
SMH,momentum_breakout,breakout,3,2024-06-05,252.50169372558597,2024-07-10,279.16,bearish_divergence,1.2605249180417788,1.26,False,,35,33.6,10.56,279.16,68.47880564905024,1.5993445117832332,1704.98,1
CL,momentum_breakout,breakout,3,2024-06-25,93.7003402709961,2024-07-17,94.36,bearish_divergence,3.572327835898993,3.57,False,,22,2.34,0.7,94.36,75.79005064944276,1.6170960588228582,1643.95,1
AMD,momentum_breakout,breakout,3,2024-07-10,183.9600067138672,2024-07-17,171.36,stop_loss,1.853641583056232,1.85,False,,7,-23.36,-6.85,183.96,66.45102790107278,1.764496677454731,1643.95,0
CRWD,momentum_breakout,breakout,3,2024-06-10,93.64250183105467,2024-07-18,88.23,trailing_stop,1.1661301013735783,1.17,False,,38,-6.31,-5.78,98.04,65.93912156319888,3.301026787084863,1644.61,0
JNJ,momentum_breakout,breakout,3,2024-07-17,147.21673583984375,2024-07-23,143.97,stop_loss,2.23337257304722,2.23,False,,6,-7.25,-2.21,147.22,66.86158901563884,1.9844909074961572,1667.1,0
UNH,momentum_breakout,breakout,3,2024-07-17,547.9799194335938,2024-08-02,563.8,bearish_divergence,0.6000034097199957,0.6,False,,16,9.49,2.89,563.8,75.14010531363597,1.8929286358868178,1691.99,1
PLTR,momentum_breakout,breakout,3,2024-07-18,28.63999938964844,2024-08-02,25.93,trailing_stop,4.876028354981669,4.88,False,,15,-13.22,-9.47,28.81,69.74192345054335,1.6788182581823776,1691.99,0
AAPL,momentum_breakout,breakout,3,2024-06-12,211.05813598632807,2024-08-05,209.34,trailing_stop,0.5523295770770164,0.55,False,,54,-0.95,-0.81,232.6,80.01919843052706,3.0086723900508083,1670.76,0
LMT,momentum_breakout,breakout,3,2024-07-23,472.6582336425781,2024-09-09,546.67,bearish_divergence,0.668379716935238,0.67,False,,48,49.47,15.66,546.67,73.09039422227451,2.669419819596032,1757.92,1
LIN,momentum_breakout,breakout,3,2024-08-02,440.9620361328125,2024-09-26,469.22,bearish_divergence,0.7674073265865115,0.77,False,,55,21.69,6.41,469.22,59.509936316695885,1.7417694879148942,1837.74,1
ORCL,momentum_breakout,breakout,3,2024-09-09,136.88124084472656,2024-10-09,174.46,bearish_divergence,2.568533496492447,1.28,True,161.52,30,79.9,22.73,174.46,57.76782554573657,3.377462771524577,1866.27,1
