date,equity,cash,positions,queue_size
2025-05-28,819.06,212.39,5,10
2025-05-29,809.8,369.4,4,7
2025-05-30,809.33,270.87,4,7
2025-06-02,805.09,202.55,5,10
2025-06-03,801.61,418.86,3,8
2025-06-04,784.38,196.31,5,5
2025-06-05,787.1,338.69,4,8
2025-06-06,779.3,195.62,5,7
2025-06-09,774.35,195.62,5,7
2025-06-10,764.61,195.62,5,9
2025-06-11,765.96,358.62,4,7
2025-06-12,754.76,206.19,5,7
2025-06-13,740.89,206.19,5,10
2025-06-16,745.66,476.64,3,10
2025-06-17,736.43,327.84,4,5
2025-06-18,737.26,327.84,4,3
2025-06-20,729.04,183.67,5,0
2025-06-23,731.63,183.67,5,8
2025-06-24,751.71,224.37,4,11
2025-06-25,742.45,185.88,5,11
2025-06-26,751.73,185.88,5,11
2025-06-27,754.28,185.88,5,7
2025-06-30,760.82,185.88,5,17
2025-07-01,765.11,185.88,5,16
2025-07-02,779.68,185.88,5,18
2025-07-03,783.28,271.59,5,20
2025-07-07,781.59,271.59,5,11
2025-07-08,782.25,271.59,5,10
2025-07-09,789.11,271.59,5,10
2025-07-10,790.76,271.59,5,11
2025-07-11,780.23,271.59,5,22
2025-07-14,784.6,271.59,5,24
2025-07-15,779.79,271.59,5,17
2025-07-16,787.37,271.59,5,15
